,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
0,2057,CANAL,DELHI,,,,,,,,,,,,,100000,20000000000,100000,,2012,2012
1,2265,CANAL,GOA,27,34,7.5,7.8,5.5,5.9,50,61,1,1.6,0.06,0.11,7,7,150,,2012,2012
2,2266,CANAL,GOA,29,34,7.5,8.1,5.8,6.1,48,156,0.7,2.1,0.04,0.1,,,120,,2012,2012
3,2268,CANAL,GOA,26,33,3.3,6.7,5.5,7.4,3,1313,0.6,4.6,0.02,0.34,4,2600,150,,2012,2012
4,2836,CANAL,MANIPUR,,,,,,,,,,,,,,,,,2014,2014
5,2073,CANAL,GUJARAT,26,28,6.6,9.4,7.4,8.6,182,344,1,6,,0.87,7,9,21,,2012,2012
6,2354,CANAL,ANDHRA PRADESH,25,30,5.2,6.3,5.8,7.7,241,406,1,2.1,0.4,1.8,4,11,43,150,2016,2016
7,1113,CANAL,HARYANA,,,,,7.1,7.1,168,214,1.8,2.2,,,,,,,2017,2017
8,2074,CANAL,GUJARAT,27,33,4.2,8.8,7.7,8.4,241,1270,0.7,5,0.04,1.19,2,230,2,,2012,2012
9,1479,CANAL,DELHI,,,,,,,,,,,,,13000,30000,30000,,2012,2012
10,1111,CANAL,HARYANA,18,32,7,7.6,7.1,8.2,184,254,1.4,1.7,,0.2,,,,,2012,2012
11,20022,STP,PUNJAB,,,,,6.7,8.4,,,23,160,,,,,,,2017,2017
12,,STP,KERALA,,,,,6,9.3,,,20,290,,,,,,,2018,2018
13,,STP,PUNJAB,,,,,6.9,7.8,,,23,160,,,6.8,6.8,170,170,2018,2018
14,,CANAL,ODISHA,24,29,5.9,7.8,7.3,7.7,154,299,1.5,3.3,0.452,0.587,16000,160000,16000,160000,2018,2018
15,3067,DRAINS,ANDHRA PRADESH,21,27,5.4,6.2,7,7.8,220,420,1,1.2,0.2,2.44,3,28,240,2400,2012,2012
16,3066,DRAINS,ANDHRA PRADESH,20,22,0.8,4.5,6.7,7.1,580,1699,0.4,5.8,0.2,6.2,4,6,1700,2700,2012,2012
17,3065,DRAINS,ANDHRA PRADESH,26,34,0,8.2,7,8.5,886,1586,12,120,,13.8,160,900,1600,1600,2012,2012
18,3064,DRAINS,ANDHRA PRADESH,26,32,0,2.3,7.1,8.8,1112,1627,14,60,,6,300,500,900,900,2012,2012
19,3063,DRAINS,ANDHRA PRADESH,27,29,3.2,4.2,6.9,8.3,264,2314,26,120,2,34,28,160,150,580,2012,2012
20,3062,DRAINS,ANDHRA PRADESH,22,29,0.6,6.4,7,8.2,1437,2153,14,35,,56,300,900,330,1600,2012,2012
21,3061,DRAINS,ANDHRA PRADESH,25,29,0,6.9,7.3,8.2,1304,2157,10,65,,47.8,90,300,10,1460,2012,2012
22,3060,DRAINS,ANDHRA PRADESH,2,32,1.2,6.2,7.7,8.6,1405,2625,0.4,40,,6.6,140,500,1600,1600,2012,2012
23,3059,DRAINS,ANDHRA PRADESH,20,29,0,4,7,8.4,1133,1992,3.3,80,,32.3,170,500,900,1600,2012,2012
24,3058,DRAINS,ANDHRA PRADESH,23,31,1,5.3,6.4,8.1,759,1229,12,49,,35,170,1600,500,1600,2012,2012
25,3057,DRAINS,ANDHRA PRADESH,25,29,0,7,7.3,8.7,717,1749,8,40,,56,34,600,40,1200,2012,2012
26,3056,DRAINS,ANDHRA PRADESH,22,29,0,6,7.1,8.7,1007,1589,2.3,30,,131,300,900,285,1600,2012,2012
27,3055,DRAINS,ANDHRA PRADESH,22,31,0,4.1,7.1,8.2,978,1952,15.5,95,,89,280,500,550,1600,2012,2012
28,3053,DRAINS,ANDHRA PRADESH,22,29,5.2,6,6.9,7.7,359,48100,1.2,2.2,0.64,2.67,3,7,14,2400,2012,2012
29,3052,DRAINS,ANDHRA PRADESH,18,27,0.6,3,6.7,7.8,1126,2150,0.2,4.8,0.58,1.96,4,6,1700,3400,2012,2012
30,3051,CANAL,ANDHRA PRADESH,18,28,0.8,4.2,6.9,7.2,488,1239,0.4,2.9,0.16,1.63,2,6,1300,,2012,2012
31,2355,CANAL,ANDHRA PRADESH,21,28,5.6,6.2,7,7.9,391,33200,1.2,2,0.4,2.97,3,4,11,,2012,2012
32,2354,CANAL,ANDHRA PRADESH,21,28,5.4,6,6.6,7.8,283,425,1,1.2,0.24,0.79,3,3,20,,2012,2012
33,3054,DRAINS,ANDHRA PRADESH,26,31,0,7.4,7.9,11.2,841,1707,0.2,50,,1.34,240,300,1600,1600,2012,2012
34,1112,CANAL,HARYANA,18,30,6.7,7.9,7.3,8.2,210,337,1.1,1.5,,0.32,,,,,2012,2012
35,1318,CREEKS AND SEA WATER,MAHARASHTRA,28,29,1.3,6,7.1,7.7,3273,57310,4,25,0.1,6.2,225,1600,550,1600,2012,2012
36,1115,CANAL,HARYANA,19,31,6.7,7.4,7.4,8.1,178,253,2,2.1,0.2,0.4,,,,,2012,2012
37,1116,CANAL,HARYANA,20,24,7,7.3,7.3,8.1,206,410,2.2,2.6,,0.55,13000,20000,13000,,2012,2012
38,1419,CANAL,HARYANA,23,30,1.1,1.5,7.8,8.1,1020,1210,31,32,1.2,1.2,,,,,2012,2012
39,3461,CANAL,KERALA,25,29,2.5,5.9,6.7,8.2,486,36000,0.6,5.5,0.05,1.5,200,17000,700,,2012,2012
40,3467,CANAL,KERALA,27,29,0,3.5,6.2,7.4,160,6970,0.8,68,0.7,11.13,170,1400,800,,2012,2012
41,3469,CANAL,KERALA,26,29,2.7,6.4,6.2,7.7,42,80,0.8,2.6,0.19,1.17,20,1600,350,,2012,2012
42,1509,DRAINS,UTTAR PRADESH,,,,,,,,,,,,,200000,200000,300000,300000,2012,2012
43,2836,CANAL,MANIPUR,27,30,5.1,8.1,6.4,7.5,99,215,0.2,4.3,,,,,15,,2012,2012
44,2428,CANAL,ORISSA,26,29,5.5,10.2,7.1,8.2,148,205,1,2.7,0.18,1.17,4900,200000,11000,,2012,2012
45,2429,CANAL,ORISSA,27,31,5.2,7.9,7.4,8.5,148,219,1.6,2.6,0.22,2.74,35000,200000,92000,,2012,2012
46,2430,CANAL,ORISSA,20,35,3.2,16.3,6.5,8.4,41,2638,1.1,7.2,0.06,2.62,9400,54000,5400,,2012,2012
47,2932,CANAL,RAJASTHAN,15,28,5,9,7.3,8.9,200,740,0.4,2.8,0.14,0.58,3,7,4,20,2012,2012
48,2933,CANAL,RAJASTHAN,12,33,4.5,7.9,6,8.2,260,500,0.3,2.7,0.14,0.92,3,7,4,21,2012,2012
49,2934,CANAL,RAJASTHAN,13,84,4.4,7.7,6,8,250,580,0.6,2.2,0.02,0.98,3,4,4,20,2012,2012
50,1729,CANAL,TRIPURA,28,29,0.8,1.8,8.7,8.9,374,392,30.2,38.1,6.02,6.82,620,660,780,880,2012,2012
51,2726,CANAL,UTTARAKHAND,15,23,7.4,9.6,6.9,8.3,38,151,1.2,3.8,,,,,100,500,2012,2012
52,3035,CANAL,UTTAR PRADESH,,,,,7.5,8.1,178,996,,,,,40000,40000,81000,81000,2012,2012
53,2792,CREEKS AND SEA WATER,MAHARASHTRA,20,32,2.8,7,7.1,7.9,197,41090,2.4,32,0.2,4.89,25,900,70,1600,2012,2012
54,2512,CANAL,WEST BENGAL,21,35,0.8,1.6,6.7,7.7,480,1813,10.5,64.2,,1.61,3000000,100000000,5000000,200000000,2012,2012
55,2513,CANAL,WEST BENGAL,22,34,0,0,6.3,7.6,739,1136,35.5,146.3,,1.16,30000000,900000000,50000000,2000000000,2012,2012
56,2047,DRAINS,CHANDIGARH,15,27,2,3.6,6.1,7.8,514,1072,51,278,0.19,2.92,,,,,2012,2012
57,2048,DRAINS,CHANDIGARH,15,27,1.4,1.8,6.9,7.9,509,1094,65,278,0.34,3.43,,,,,2012,2012
58,2049,DRAINS,CHANDIGARH,14,27,1.8,2,6.8,7.9,556,935,22,157,,0.88,,,,,2012,2012
59,1379,DRAINS,HARYANA,,,,,,,,,,,,,1100,1100,2200,2200,2012,2012
60,2178,DRAINS,MAHARASHTRA,23,27,1.5,6.1,6.9,8,1,2113,5,40,,41.15,50,1600,180,900,2012,2012
61,2782,DRAINS,MAHARASHTRA,21,35,2,2.2,6.9,7.6,487,740,18,220,0.26,2.9,35,1800,80,1800,2012,2012
62,2783,DRAINS,MAHARASHTRA,21,35,0.8,3.8,7.1,7.7,532,36810,7.4,120,0.4,4.1,25,1800,50,1800,2012,2012
63,2784,DRAINS,MAHARASHTRA,22,35,1.5,2.7,7.2,7.5,639,2137,12,90,0.35,2.66,50,1800,110,1800,2012,2012
64,2785,DRAINS,MAHARASHTRA,27,29,,,5.9,8.4,2856,9763,180,650,0.2,11.25,130,1800,350,1800,2012,2012
65,2786,DRAINS,MAHARASHTRA,27,29,2,2.5,3,7.4,799,6600,15,675,0.9,5.9,80,1800,170,1800,2012,2012
66,2787,DRAINS,MAHARASHTRA,27,29,6.8,6.8,5.7,8.5,185,6740,3.6,775,0.34,6,80,1600,175,1600,2012,2012
67,2793,CREEKS AND SEA WATER,MAHARASHTRA,21,32,1.1,5.7,7.1,7.9,1172,40540,3.2,130,0.2,3.79,110,1600,250,1800,2012,2012
68,2788,DRAINS,MAHARASHTRA,27,29,2.4,2.4,2,7.8,2059,16800,110,1250,2.2,6.74,170,1600,350,1600,2012,2012
69,2798,CREEKS AND SEA WATER,MAHARASHTRA,27,29,1.9,6.4,7,7.9,2301,66470,3.8,31,0.21,2.5,80,1600,250,1600,2012,2012
70,2789,DRAINS,MAHARASHTRA,25,38,1.2,9.8,6,8.3,736,2106,7.6,20.5,0.22,3.24,195,275,900,1600,2012,2012
71,2794,CREEKS AND SEA WATER,MAHARASHTRA,20,32,3.5,7.3,5,7.9,164,34500,2.2,23,0.2,4.4,7,550,25,900,2012,2012
72,2795,CREEKS AND SEA WATER,MAHARASHTRA,20,32,3.1,7.1,7.4,7.8,234,43000,3.2,25,0.2,4.86,80,550,130,900,2012,2012
73,2796,CREEKS AND SEA WATER,MAHARASHTRA,22,30,3.8,7.5,7.2,8.1,275,59370,2.2,25,0.2,5.19,25,900,50,1600,2012,2012
74,2799,CREEKS AND SEA WATER,MAHARASHTRA,27,29,3.2,6.6,7.1,8,31070,65470,4.8,18,0.18,2.72,130,1600,250,1600,2012,2012
75,1317,CREEKS AND SEA WATER,MAHARASHTRA,28,29,3.4,6,7.5,8.2,20640,64300,4,25,0.1,2.67,350,900,550,1600,2012,2012
76,1316,CREEKS AND SEA WATER,MAHARASHTRA,22,30,4.2,7.2,7.5,8,204,63170,2.2,17.5,0.2,4.63,8,550,25,900,2012,2012
77,2081,CREEKS AND SEA WATER,GUJARAT,28,33,0,5.9,7.3,8.3,1380,5860,3.5,72.1,0.12,12.88,140,9000,140,90000,2012,2012
78,2267,CREEKS AND SEA WATER,GOA,27,35,4.8,8.8,6,8.7,5,612,1.2,2.3,0.2,48.52,10,13000,95,28000,2012,2012
79,2790,DRAINS,MAHARASHTRA,27,30,5.4,7.3,5.2,8.3,602,1787,2.2,8.2,0.48,2.99,4,9,120,170,2012,2012
80,2800,CREEKS AND SEA WATER,MAHARASHTRA,27,29,2.2,7.5,7.2,8.5,331,56800,2.2,20,0.21,6.93,40,1800,130,1800,2012,2012
81,2801,CREEKS AND SEA WATER,MAHARASHTRA,27,29,3,7.4,7.6,8.4,156,66140,2.2,20,0.2,2.62,25,900,80,1600,2012,2012
82,2802,CREEKS AND SEA WATER,MAHARASHTRA,27,29,3.7,7.2,7.6,8.5,150,66260,2.2,24,0.1,2.75,70,900,130,1600,2012,2012
83,2803,CREEKS AND SEA WATER,MAHARASHTRA,25,30,1.8,7.4,4.9,8,160,60420,2,24,0.2,3.4,50,350,110,550,2012,2012
84,3034,CANAL,HARYANA/CPCB,,,,,8.1,8.2,173,345,1,1,,,3300,3300,5800,,2012,2012
85,2804,CREEKS AND SEA WATER,MAHARASHTRA,15,36,5.6,7.2,6.7,7.8,64,17130,1.8,4.2,0.43,4.21,2,6,110,140,2012,2012
86,2165,CREEKS AND SEA WATER,MAHARASHTRA,28,29,3.2,6.2,7.5,8.1,23070,64150,4,18,0.9,2.82,550,1600,900,1600,2012,2012
87,2166,CREEKS AND SEA WATER,MAHARASHTRA,8,29,3.6,6,7.4,8,25140,64310,4,19,0.9,2.68,550,1600,900,1600,2012,2012
88,2184,CREEKS AND SEA WATER,MAHARASHTRA,24,30,3.2,7.2,7.2,8.2,1080,58080,2.4,18,0.4,5.04,13,900,25,1800,2012,2012
89,2185,CREEKS AND SEA WATER,MAHARASHTRA,22,35,3.4,7.4,6.8,7.9,2589,64150,2.8,20,0.86,3.26,110,550,225,900,2012,2012
90,2797,CREEKS AND SEA WATER,MAHARASHTRA,22,30,4.2,7.5,7.2,8.1,245,66140,2.2,19,0.2,4.86,25,900,70,1600,2012,2012
91,2167,CREEKS AND SEA WATER,MAHARASHTRA,28,29,4,6,7.5,8.1,20590,64660,4,21,0.1,2.88,350,1600,550,1600,2012,2012
92,2169,CREEKS AND SEA WATER,MAHARASHTRA,21,28,2,5.9,7.5,8.2,349,64590,4,29,0.1,2.88,250,900,550,1600,2012,2012
93,2805,CREEKS AND SEA WATER,MAHARASHTRA,22,30,3.5,6.9,7.7,8.4,283,67000,3.2,20,0.1,4.16,17,900,45,1600,2012,2012
94,2806,CREEKS AND SEA WATER,MAHARASHTRA,22,30,3.7,7.5,7.6,8.4,203,66250,2,22,0.1,4.01,35,1600,70,1600,2012,2012
95,2807,CREEKS AND SEA WATER,MAHARASHTRA,27,29,1.5,6.6,7,8.1,31550,70190,5.2,28,0.24,3.21,25,1600,350,1600,2012,2012
96,2791,CREEKS AND SEA WATER,MAHARASHTRA,25,30,3.1,7.3,6.7,7.7,105,18130,2.4,70,0.36,5.4,17,1600,50,1600,2012,2012
97,2808,CREEKS AND SEA WATER,MAHARASHTRA,8,30,3.5,5.8,7.4,8,39010,64660,3.6,24,0.86,2.54,250,1600,900,1600,2012,2012
98,2809,CREEKS AND SEA WATER,MAHARASHTRA,28,29,2.8,5.8,7.2,8,31200,62250,3.4,24,0.89,2.61,350,900,900,1600,2012,2012
99,2810,CREEKS AND SEA WATER,MAHARASHTRA,28,29,3.2,5.6,7.4,8,38640,64030,4.2,18,0.89,2.72,275,1800,900,1800,2012,2012
100,2811,CREEKS AND SEA WATER,MAHARASHTRA,28,30,3.4,6,7.5,8.1,38200,64030,4.2,21,0.95,2.44,550,1600,900,1600,2012,2012
101,2812,CREEKS AND SEA WATER,MAHARASHTRA,24,28,3.6,6.4,7.5,8.1,28420,64570,4,28,0.1,3.23,55,1600,900,1600,2012,2012
102,2813,CREEKS AND SEA WATER,MAHARASHTRA,24,30,3,7.5,7.3,8.6,3735,50220,2.4,8.4,0.46,4.46,2,9,90,170,2012,2012
103,2814,CREEKS AND SEA WATER,MAHARASHTRA,25,30,2.7,7.4,7.1,8.6,2296,48670,2.6,5.4,0.72,4.65,2,6,90,140,2012,2012
104,2815,CREEKS AND SEA WATER,MAHARASHTRA,24,30,3.6,7.1,7,8.8,2724,49920,2,9.8,0.49,4.56,4,9,110,220,2012,2012
105,2439,CREEKS AND SEA WATER,ORISSA,21,31,5.8,11.4,7.8,8.3,28050,58400,0.2,3,0.52,1.1,20,2400,20,3500,2012,2012
106,2440,CREEKS AND SEA WATER,ORISSA,22,34,5.7,8.4,7.7,8.4,28110,57120,0.3,2.8,0.48,2.47,20,230,45,490,2012,2012
107,2441,CREEKS AND SEA WATER,ORISSA,24,32,5.4,8.8,7.5,8.3,29980,57570,0.7,3.8,0.15,1.91,20,490,45,790,2012,2012
108,2932,CANAL,RAJASTHAN,18,34,3.6,9.3,7.3,8.9,250,1070,0.5,1.3,0.48,3.36,4,4,4,9,2013,2013
109,3067,DRAINS,ANDHRA PRADESH,25,27,5.6,6.2,6.6,7.7,298,788,1.2,1.2,4.94,15.6,3,93,,,2013,2013
110,2267,CREEKS AND SEA WATER,GOA,28,34,3.2,7.6,6.6,8.9,11,821,0.7,21.3,12.76,56,450,24000,400,35000,2013,2013
111,2081,CREEKS AND SEA WATER,GUJARAT,26,34,1.5,8,7.2,8.5,,,0.8,4,,,,,,,2013,2013
112,3196,CREEKS AND SEA WATER,GUJARAT,24,32,2.6,5.4,7.4,8.5,,,0.8,2,,,,,,,2013,2013
113,1316,CREEKS AND SEA WATER,MAHARASHTRA,20,26,3.9,6.6,7.3,8.6,240,39150,4.6,14,3.8,5.53,275,550,425,900,2013,2013
114,2439,CREEKS AND SEA WATER,ORISSA,22,34,5.7,7.8,7.9,8.4,28760,52390,0.6,2.6,1.005,3.3,20,790,45,2200,2013,2013
115,1318,CREEKS AND SEA WATER,MAHARASHTRA,26,27,1.7,6.5,7,8,527,50560,4.8,16,1.8,6.88,25,1600,85,1600,2013,2013
116,1317,CREEKS AND SEA WATER,MAHARASHTRA,26,32,1.8,6.4,7,8,533,50630,4.8,18,0.2,4.56,275,550,900,900,2013,2013
117,2785,CREEKS AND SEA WATER,MAHARASHTRA,27,30,,,5.4,7.8,3760,7462,140,650,2.1,21.23,275,900,425,1600,2013,2013
118,2793,CREEKS AND SEA WATER,MAHARASHTRA,22,26,3.5,6.6,7.1,8,650,35990,4.4,14,3.8,7,110,550,425,900,2013,2013
119,2791,CREEKS AND SEA WATER,MAHARASHTRA,20,35,2.5,7.3,6.8,7.6,148,6090,3.2,12,2.3,2.6,275,900,550,1600,2013,2013
120,2792,CREEKS AND SEA WATER,MAHARASHTRA,21,26,1.8,6.7,7.3,7.5,247,38070,4.2,16,5.7,9.6,170,550,350,900,2013,2013
121,2794,CREEKS AND SEA WATER,MAHARASHTRA,22,26,3.8,6.2,7.4,8.2,254,30830,4.4,48,5.7,8.32,170,1600,550,1600,2013,2013
122,2795,CREEKS AND SEA WATER,MAHARASHTRA,22,26,3.7,6.1,7.3,7.8,238,39840,4.4,14,6.3,12.23,225,550,550,1600,2013,2013
123,3066,DRAINS,ANDHRA PRADESH,21,23,3.2,4.2,6.8,8.2,1020,1551,1.8,4,0.82,1.56,4,7,1200,2600,2013,2013
124,3065,DRAINS,ANDHRA PRADESH,30,30,0,0,8.4,8.5,1325,1426,23,26,,,500,500,1600,1600,2013,2013
125,3064,DRAINS,ANDHRA PRADESH,29,30,0,0,8.3,8.4,1189,1264,21,23,,,900,900,1600,1600,2013,2013
126,3063,DRAINS,ANDHRA PRADESH,27,30,5.2,6.2,7.5,8.1,1737,2656,35,96,3,18,25,62,370,464,2013,2013
127,3062,DRAINS,ANDHRA PRADESH,25,29,0.8,1.8,7.9,8,1800,1900,43,45,,,900,900,1600,1600,2013,2013
128,3061,DRAINS,ANDHRA PRADESH,23,29,1.1,2.2,7.8,8.1,1660,1755,36,40,,,350,500,900,900,2013,2013
129,2796,CREEKS AND SEA WATER,MAHARASHTRA,22,26,4.3,7,7.5,7.8,237,39630,3.6,12,6.2,6.2,275,550,550,900,2013,2013
130,3060,DRAINS,ANDHRA PRADESH,26,31,2,3.3,7.8,8.4,1540,1561,12,24,,,900,900,1600,1600,2013,2013
131,3059,DRAINS,ANDHRA PRADESH,29,29,2.6,3.2,8.3,8.3,1824,2270,16,30,,,350,350,900,1600,2013,2013
132,3058,DRAINS,ANDHRA PRADESH,26,30,2,2,7.4,7.7,1026,1222,16,32,,,900,900,1600,1600,2013,2013
133,3057,DRAINS,ANDHRA PRADESH,23,29,0.2,3.2,7.8,8.2,1092,1200,26,40,,,300,1600,900,1600,2013,2013
134,3056,DRAINS,ANDHRA PRADESH,24,29,2.5,3.6,7.9,8.6,1386,1465,4,10,,,500,900,1600,1600,2013,2013
135,3055,DRAINS,ANDHRA PRADESH,24,30,2.2,2.2,7.8,9.4,1375,1450,40,75,,,900,900,1600,1600,2013,2013
136,3054,DRAINS,ANDHRA PRADESH,30,30,4,4,9.3,10.5,866,1202,14,14,,,500,500,1600,1600,2013,2013
137,3053,DRAINS,ANDHRA PRADESH,25,27,5.2,6,6.9,7.8,860,11610,1.2,1.8,2.04,3,,,75,1100,2013,2013
138,3052,DRAINS,ANDHRA PRADESH,18,23,3,3.8,7.1,7.9,1774,2320,2,2.4,1.28,1.56,2,6,2100,2400,2013,2013
139,3051,CANAL,ANDHRA PRADESH,18,23,3,3.8,6.7,8,1028,1200,2,3,0.58,1,2,4,1400,2200,2013,2013
140,2355,CANAL,ANDHRA PRADESH,25,28,5.6,6.5,6.8,8.1,968,5620,1.2,1.6,2.353,3.32,,,43,240,2013,2013
141,2354,CANAL,ANDHRA PRADESH,25,27,5.4,6.2,6.8,7.2,205,382,1.2,1.2,0.952,1,3,3,240,1100,2013,2013
142,2184,CREEKS AND SEA WATER,MAHARASHTRA,25,30,3.6,5.3,7.2,8.2,1674,49510,6,16,0.3,0.3,225,1600,550,1600,2013,2013
143,2185,CREEKS AND SEA WATER,MAHARASHTRA,20,30,3.8,5.7,7.1,7.9,876,41600,4.6,14,1.8,7,170,1600,550,1600,2013,2013
144,2797,CREEKS AND SEA WATER,MAHARASHTRA,22,26,3.6,7.1,6.7,8,242,39080,4.4,14,5.7,6.3,425,1600,900,1600,2013,2013
145,2798,CREEKS AND SEA WATER,MAHARASHTRA,27,30,3.8,6.2,7.7,8,474,51830,4.4,18,2.2,8.6,25,900,55,1600,2013,2013
146,2799,CREEKS AND SEA WATER,MAHARASHTRA,27,30,3.7,5.3,7.3,8,4780,52080,5,16,2.1,9.4,95,550,225,900,2013,2013
147,2800,CREEKS AND SEA WATER,MAHARASHTRA,27,30,2.2,7.3,6.6,8.1,149,1721,4.6,12,4,4,50,900,140,1600,2013,2013
148,2801,CREEKS AND SEA WATER,MAHARASHTRA,26,28,3.8,7.5,7.7,8.6,320,51308,3.8,34,0.2,1,225,550,900,900,2013,2013
149,2802,CREEKS AND SEA WATER,MAHARASHTRA,26,28,2,6.8,7.7,8.6,317,51230,3.8,14,0.1,1,350,900,900,1600,2013,2013
150,2803,CREEKS AND SEA WATER,MAHARASHTRA,28,30,6.6,7.2,6.7,7.8,120,30980,3,65,3.6,5.56,140,900,275,1600,2013,2013
151,2804,CREEKS AND SEA WATER,MAHARASHTRA,22,25,6.5,7.1,7,8,157,3522,2,3.6,2.73,3.32,4,4,80,120,2013,2013
152,2440,CREEKS AND SEA WATER,ORISSA,21,30,6,8.2,7.5,8.4,18270,55660,0.3,1.4,1.71,2.56,2,160000,2,160000,2013,2013
153,2441,CREEKS AND SEA WATER,ORISSA,23,32,5.8,7.9,7.5,8.4,23624,52790,0.7,3.6,1.46,2.2,20,5400,68,16000,2013,2013
154,2265,CANAL,GOA,28,33,5,8.4,5.7,7.6,51,115,0.1,1.5,0.013,1,33,3500,49,17000,2013,2013
155,2266,CANAL,GOA,24,37,4.5,8.2,5.6,8.3,56,1454,0.2,1.9,0.023,15,78,13000,130,24000,2013,2013
156,2268,CANAL,GOA,26,35,3.7,6.2,5.6,7.8,23,2027,0.6,130,0.07,1,180,4900,180,7900,2013,2013
157,2074,CANAL,GUJARAT,,,,,,,1530,2300,,,,,,,20,940,2013,2013
158,1110,CANAL,HARYANA,26,26,6.7,6.9,7.8,8.1,260,260,1.4,2.3,,,,,,,2013,2013
159,1111,CANAL,HARYANA,23,23,6.8,6.8,7.3,7.3,220,220,1.4,1.4,0.15,1,,,,,2013,2013
160,1112,CANAL,HARYANA,22,22,6.8,6.8,7.3,7.3,210,210,1.1,1.1,0.1,1,,,,,2013,2013
161,1114,CANAL,HARYANA,,,6.3,6.3,8.1,8.1,,,1.2,1.2,,,,,,,2013,2013
162,1115,CANAL,HARYANA,,,,,,,210,210,,,0.2,2,,,,,2013,2013
163,1215,CANAL,HARYANA,,,,,,,,,,,,,,,,,2013,2013
164,1116,CANAL,HARYANA,11,23,7.1,8.3,7.8,8.4,218,218,2,2.3,0.1,,,,,,2013,2013
165,1419,CANAL,HARYANA,22,24,1.2,1.8,7.5,7.8,620,1340,12,36,1.6,2,,,,,2013,2013
166,1885,CANAL,HARYANA,,,6.9,6.9,7.5,7.5,,,1.8,1.8,0.9,1,,,,,2013,2013
167,3461,CANAL,KERALA,26,30,3.3,5.3,6.8,7.8,1100,46000,0.5,2,0.7,3.32,500,11000,700,17000,2013,2013
168,3467,CANAL,KERALA,28,29.5,0.3,7.8,6.2,7.4,210,25880,0.4,7.2,8.62,9.63,11,1100,40,30000,2013,2013
169,3469,CANAL,KERALA,26,29,3.5,7.2,6.2,7.1,30,95,0.7,3.7,0.57,1.57,2,1600,110,4000,2013,2013
170,2428,CANAL,ORISSA,27,35,6.8,8.5,7.5,7.6,152,535,1.4,9.7,1.191,15.8,14000,160000,7900,160000,2013,2013
171,2429,CANAL,ORISSA,27,35,1.9,6.9,7.2,7.9,152,535,2.4,11.9,9.528,19.5,22000,160000,7900,160000,2013,2013
172,2430,CANAL,ORISSA,21,30,0.9,10.3,7.2,8,195,938,1.6,9.8,1.706,5.56,11000,160000,16000,160000,2013,2013
173,2933,CANAL,RAJASTHAN,16.2,31.8,4,7.2,6.7,8.2,230,720,0.4,2.1,0.38,2.23,4,4,4,9,2013,2013
174,2934,CANAL,RAJASTHAN,16.4,31.8,3.8,7.2,6.4,8.2,32,630,0.6,18,0.3,1,4,4,4,14,2013,2013
175,1729,CANAL,TRIPURA,28.5,28.5,0.6,1.2,8.8,8.8,384,390,30,32.4,7.7,8,610,660,780,860,2013,2013
176,2726,CANAL,UTTARANCHAL,14,22,2.6,8.8,7.1,8.5,512,512,1.6,7.8,,,,,50,240,2013,2013
177,2512,CANAL,WEST BENGAL,17,32,0.7,1.5,6.8,7.3,414,2140,6.1,58.8,0.12,1.22,1300000,1100000000,1700000,140000000,2013,2013
178,2513,CANAL,WEST BENGAL,22,34,,,6.4,7.4,660,1092,16.6,134,0.38,2.23,170000,900000000,220000,1600000000,2013,2013
179,3020,CANAL,Tamil Nadu,23,28,3.9,7.3,7.2,8.3,123,470,0.1,1.1,,,48,54000,94,92000,2013,2013
180,3021,CANAL,Tamil Nadu,23,28,4.9,7.9,7.6,8.2,312,490,0.4,0.9,,,110,24000,140,54000,2013,2013
181,2075,DRAINS,GUJARAT,,,,,,,1500,2700,,,,,,,140,9200,2013,2013
182,2178,DRAINS,MAHARASHTRA,23,28,2,5.6,7,8,115,1494,4.6,32,5,5,40,350,90,900,2013,2013
183,2782,DRAINS,MAHARASHTRA,22,25,1.3,1.3,6.8,7.3,472,1582,28,190,3.8,5.56,350,550,550,900,2013,2013
184,2783,DRAINS,MAHARASHTRA,22,25,1.3,2,7,7.5,1150,18100,18,42,1.6,4.89,175,1600,425,1600,2013,2013
185,2784,DRAINS,MAHARASHTRA,21,25,1,1,7.1,7.5,903,2018,30,150,5.6,7.89,350,900,900,1600,2013,2013
186,2785,DRAINS,MAHARASHTRA,27,30,,,5.4,7.8,1030,4409,140,650,5.7,12.3,225,900,425,1600,2013,2013
187,2786,DRAINS,MAHARASHTRA,26,30,1.7,4.7,4.3,7.9,3760,10780,18,280,4.7,15.6,140,425,275,900,2013,2013
188,2787,DRAINS,MAHARASHTRA,27,30,,,5.6,7.8,2988,5334,150,975,0.9,10.63,130,900,275,1600,2013,2013
