,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
642,,DRAIN,MAHARASHTRA,26,26,,,6,7.2,1676,17070,70,950,4.6,7.4,1600,1600,1600,1600,2018,2018
643,,DRAIN,PUNJAB,14,35,,,6.5,7.5,16.9,1920,46,128,2,6,7900,170000,13000,220000,2018,2018
644,,DRAIN,PUNJAB,13,31,,,7.4,8,3240,7240,70,325,0.31,2.2,11000,170000,54000,280000,2018,2018
645,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,25,30,,5.3,7,7.9,5303,67820,7,62,1.5,3.9,21,540,110,1600,2018,2018
646,,Coastal/ Creek/ Marine/ Sea Water (under NWMP),MAHARASHTRA,22,28,,6.2,6.6,7.9,1771,49810,4,20,0.5,7.2,33,350,170,920,2018,2018
647,,STP,BIHAR,,,,,6.8,7.6,,,24,186,,,,,,,2018,2018
648,,DRAIN,DELHI,,,,,6.82,7.95,,,21,140,,,,,,,2018,2018
649,,CANAL,ANDHRA PRADESH,24,29,4.5,7.6,7.2,8.52,241,523,1,1.5,0.29,3.85,9,21,150,310,2018,2018
650,,CANAL,ANDHRA PRADESH,24,33,4.5,6.6,6.86,8.18,829,8431,1,1.5,2.11,12.3,9,39,1100,3600,2018,2018
651,,CANAL,ANDHRA PRADESH,22,30,4.2,5.8,7.11,8.4,587,1288,2.4,11,0.37,12.3,4,4,1100,1600,2018,2018
652,,DRAIN,ANDHRA PRADESH,21,30,3,5.6,6.82,7.8,1159,2280,4.1,15,0.044,12.3,4,4,1100,1600,2018,2018
653,,DRAIN,ANDHRA PRADESH,24,33,5.2,7,6.93,8.13,793,5782,1.1,2.2,0.85,5.2,15,75,460,3600,2018,2018
654,,DRAIN,TELANGANA,26,29,2,6.5,9.88,11.5,715,1176,2,6,0.4,15.3,2,26,17,500,2018,2018
655,,DRAIN,TELANGANA,25,34,2,5.3,6.92,7.89,1170,1766,10,39,1.2,42.4,2,1000,200,26250,2018,2018
