,Station code,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode
0,2253.0,ASSAM,24.0,26.0,6.6,6.8,289.0,428.0,1.5,3.2,0.1,0.16,,,1.0,1.0,2012,2012
1,2254.0,ASSAM,23.0,25.0,5.8,7.1,101.0,910.0,0.3,2.7,0.1,0.15,,,1.0,1.0,2012,2012
2,2255.0,ASSAM,24.0,27.0,6.0,7.0,357.0,448.0,0.7,2.5,0.1,0.1,,,1.0,1.0,2012,2012
3,2256.0,ASSAM,24.0,30.0,5.9,6.4,78.0,107.0,0.8,1.8,0.13,0.41,,,1.0,1.0,2012,2012
4,2257.0,ASSAM,23.0,31.0,6.5,6.8,345.0,422.0,0.3,0.8,0.1,0.22,,,1.0,1.0,2012,2012
5,2258.0,ASSAM,28.0,28.0,6.1,6.1,362.0,362.0,0.6,0.6,0.1,0.1,,,1.0,1.0,2012,2012
6,2259.0,ASSAM,32.0,36.0,6.7,7.0,191.0,935.0,1.5,1.5,0.13,0.13,,,1.0,1.0,2012,2012
7,2261.0,ASSAM,10.0,25.0,5.6,7.6,86.0,166.0,1.2,6.5,0.1,0.12,,,1.0,1.0,2012,2012
8,2262.0,ASSAM,13.0,13.0,6.5,6.5,302.0,302.0,5.4,5.4,0.1,0.19,,,1.0,1.0,2012,2012
9,2263.0,ASSAM,15.0,15.0,6.3,6.3,142.0,142.0,3.4,3.4,0.22,0.22,,,1.0,1.0,2012,2012
10,2264.0,ASSAM,12.0,15.0,6.7,6.8,431.0,690.0,3.3,5.2,0.1,0.1,,,1.0,1.0,2012,2012
11,1825.0,BIHAR,23.0,23.0,7.16,7.3,640.0,6922.0,,,,,4.0,8.0,9.0,23.0,2012,2012
12,1826.0,BIHAR,22.0,23.0,7.1,7.2,632.0,674.0,,,,,4.0,4.0,9.0,13.0,2012,2012
13,1827.0,BIHAR,22.0,22.0,7.2,7.28,509.0,705.0,,,,,1.0,1.0,2.0,2.0,2012,2012
14,1828.0,BIHAR,21.0,23.0,7.19,7.5,506.0,842.0,,,,,1.0,1.0,2.0,2.0,2012,2012
15,1829.0,BIHAR,22.0,22.0,7.12,7.2,644.0,784.0,,,,,1.0,1.0,2.0,2.0,2012,2012
16,1830.0,BIHAR,20.0,28.0,7.53,8.1,815.0,816.0,,,,,2.0,7.0,4.0,11.0,2012,2012
17,1831.0,BIHAR,19.0,27.0,7.84,8.4,836.0,910.0,,,,,1.0,4.0,2.0,8.0,2012,2012
18,1832.0,BIHAR,25.0,26.0,7.6,7.9,952.0,952.0,,,,,7.0,8.0,14.0,21.0,2012,2012
19,1833.0,BIHAR,25.0,26.0,7.6,7.8,915.0,915.0,,,,,1.0,4.0,13.0,21.0,2012,2012
20,1834.0,BIHAR,25.0,26.0,7.5,7.8,462.0,462.0,,,,,8.0,13.0,11.0,22.0,2012,2012
21,1835.0,BIHAR,25.0,26.5,7.6,7.8,356.0,356.0,,,,,4.0,7.0,7.0,17.0,2012,2012
22,1836.0,BIHAR,23.0,23.0,8.0,8.0,,,,,,,14.0,14.0,21.0,21.0,2012,2012
23,1837.0,BIHAR,23.0,25.0,7.8,7.8,856.0,856.0,,,,,4.0,9.0,7.0,22.0,2012,2012
24,1838.0,BIHAR,24.0,24.0,7.6,7.8,637.0,637.0,,,,,7.0,8.0,11.0,13.0,2012,2012
25,1839.0,BIHAR,24.0,24.0,7.6,7.6,962.0,962.0,,,,,2.0,2.0,4.0,4.0,2012,2012
26,1840.0,BIHAR,19.0,28.0,7.66,8.2,480.0,542.0,,,,,1.0,8.0,2.0,17.0,2012,2012
27,1841.0,BIHAR,22.0,24.0,8.1,8.21,1006.0,1024.0,,,,,9.0,11.0,22.0,27.0,2012,2012
28,1842.0,BIHAR,22.0,22.0,8.6,8.61,484.0,502.0,,,,,1.0,2.0,2.0,3.0,2012,2012
29,1843.0,BIHAR,22.0,22.0,8.0,8.18,516.0,532.0,,,,,4.0,7.0,14.0,14.0,2012,2012
30,1844.0,BIHAR,23.0,24.0,7.8,8.62,414.0,484.0,,,,,2.0,9.0,4.0,21.0,2012,2012
31,2577.0,BIHAR,25.0,26.0,7.5,7.8,668.0,668.0,,,,,8.0,17.0,17.0,26.0,2012,2012
32,2578.0,BIHAR,23.0,24.0,8.0,8.14,563.0,584.0,,,,,2.0,4.0,4.0,8.0,2012,2012
33,2579.0,BIHAR,24.0,27.0,8.1,8.18,552.0,562.0,,,,,4.0,4.0,7.0,8.0,2012,2012
34,2580.0,BIHAR,22.0,24.0,7.2,7.24,780.0,810.0,,,,,4.0,8.0,9.0,13.0,2012,2012
35,2581.0,BIHAR,25.0,25.0,7.66,7.66,410.0,410.0,,,,,13.0,13.0,23.0,23.0,2012,2012
36,2582.0,BIHAR,26.0,26.0,7.72,7.72,440.0,440.0,,,,,23.0,23.0,50.0,50.0,2012,2012
37,2583.0,BIHAR,22.0,23.0,8.3,8.82,512.0,552.0,,,,,4.0,4.0,8.0,9.0,2012,2012
38,4562.0,LAKSHADWEEP,29.6,29.6,,,1328.0,1920.0,,,,,,,,,2019,2019
39,2584.0,BIHAR,23.0,23.0,7.76,8.3,790.0,862.0,,,,,1.0,4.0,2.0,11.0,2012,2012
40,2585.0,BIHAR,20.0,27.0,7.8,8.0,552.0,610.0,,,,,4.0,7.0,7.0,17.0,2012,2012
41,2586.0,BIHAR,28.0,28.0,7.5,7.5,672.0,672.0,,,,,7.0,7.0,17.0,17.0,2012,2012
42,2587.0,BIHAR,25.0,26.0,7.6,7.9,854.0,854.0,,,,,8.0,8.0,13.0,23.0,2012,2012
43,2588.0,BIHAR,25.5,26.0,7.6,7.8,558.0,558.0,,,,,7.0,11.0,11.0,21.0,2012,2012
44,2589.0,BIHAR,26.0,28.0,7.5,7.8,940.0,940.0,,,,,4.0,13.0,11.0,22.0,2012,2012
45,2590.0,BIHAR,25.0,25.0,7.53,7.53,572.0,572.0,,,,,8.0,8.0,14.0,14.0,2012,2012
46,2591.0,BIHAR,21.0,23.0,8.2,8.21,694.0,716.0,,,,,2.0,7.0,17.0,17.0,2012,2012
47,2592.0,BIHAR,22.0,22.0,7.3,7.41,705.0,754.0,,,,,4.0,4.0,9.0,13.0,2012,2012
48,2593.0,BIHAR,23.0,24.0,7.2,7.22,884.0,916.0,,,,,4.0,7.0,8.0,11.0,2012,2012
49,2594.0,BIHAR,26.5,28.0,7.5,7.8,686.0,686.0,,,,,7.0,11.0,17.0,21.0,2012,2012
50,2595.0,BIHAR,27.0,27.0,7.27,7.27,829.0,829.0,,,,,4.0,4.0,11.0,11.0,2012,2012
51,2596.0,BIHAR,23.0,26.0,7.56,8.4,454.0,812.0,,,,,1.0,7.0,2.0,17.0,2012,2012
52,2597.0,BIHAR,24.0,24.0,7.7,7.7,510.0,556.0,,,,,4.0,8.0,11.0,17.0,2012,2012
53,2598.0,BIHAR,23.0,23.0,7.9,8.11,402.0,416.0,,,,,1.0,4.0,2.0,11.0,2012,2012
54,2599.0,BIHAR,22.0,24.0,7.4,7.52,901.0,946.0,,,,,2.0,4.0,4.0,11.0,2012,2012
55,2600.0,BIHAR,25.0,26.0,7.51,8.1,766.0,905.0,,,,,2.0,7.0,4.0,11.0,2012,2012
56,1620.0,CHATTISSGARH,25.0,32.0,7.25,7.96,480.0,786.0,,,1.1,1.4,,,4.0,11.0,2012,2012
57,1621.0,CHATTISSGARH,25.0,31.0,7.65,7.86,496.0,943.0,,,1.3,2.5,,,6.0,27.0,2012,2012
58,1622.0,CHATTISSGARH,31.0,31.0,7.5,7.5,789.0,1789.0,,,1.96,3.88,,,,,2012,2012
59,1617.0,MADHYA PRADESH,38.0,38.0,8.2,8.2,340.0,340.0,1.7,1.7,1.0,1.0,,,33.0,33.0,2012,2012
60,1618.0,MADHYA PRADESH,,,7.4,7.6,821.0,821.0,3.6,3.6,0.9,0.9,,,,,2012,2012
61,1619.0,MADHYA PRADESH,,,7.26,7.3,818.0,818.0,3.4,3.4,0.93,0.93,,,,,2012,2012
62,2143.0,MADHYA PRADESH,28.0,28.0,7.3,7.3,475.0,475.0,1.2,1.2,0.2,0.2,,,4.0,4.0,2012,2012
63,2144.0,MADHYA PRADESH,32.0,32.0,7.8,7.8,918.0,918.0,1.0,1.0,,,,,7.0,7.0,2012,2012
64,2145.0,MADHYA PRADESH,28.0,29.0,7.76,7.8,1850.0,2514.0,1.0,2.5,4.1,4.1,,,,,2012,2012
65,2146.0,MADHYA PRADESH,27.0,29.0,7.2,7.5,1300.0,1340.0,0.8,3.0,7.0,9.98,,,,,2012,2012
66,2148.0,MADHYA PRADESH,26.0,26.0,7.4,7.8,1860.0,2210.0,2.0,6.0,1.01,1.4,,,,,2012,2012
67,2149.0,MADHYA PRADESH,25.0,25.0,7.0,8.0,941.0,1100.0,1.2,1.2,1.67,10.87,,,,,2012,2012
68,2153.0,MADHYA PRADESH,36.0,36.0,7.8,7.8,510.0,510.0,1.3,1.3,1.64,1.964,,,50.0,50.0,2012,2012
69,1440.0,DAMAN,28.0,31.0,7.0,7.4,771.0,1660.0,,,0.3,2.1,,,,,2012,2012
70,2448.0,DAMAN,29.0,30.0,7.2,7.5,590.0,931.0,,,0.61,0.608,,,7.0,7.0,2012,2012
71,2448.0,DAMAN,30.5,30.5,7.0,7.1,771.0,2218.0,8.0,8.0,3.4,3.74,,,,,2012,2012
72,2449.0,DAMAN,30.0,30.0,7.0,7.1,1500.0,1994.0,,,1.1,2.3,,,,,2012,2012
73,2450.0,DAMAN,29.0,31.0,7.1,7.7,521.0,594.0,,,1.5,4.3,,,2.0,2.0,2012,2012
74,2451.0,DAMAN,30.0,30.5,7.3,7.5,754.0,1542.0,8.0,8.0,1.0,2.0,,,10.0,10.0,2012,2012
75,2452.0,DAMAN,29.5,29.5,6.9,7.0,1942.0,2272.0,,,1.52,3.1,,,,,2012,2012
76,2453.0,DADRA NAGAR HAVELI,30.0,30.5,6.7,7.3,385.0,594.0,,,4.9,5.3,,,4.0,4.0,2012,2012
77,2454.0,DADRA NAGAR HAVELI,30.0,31.0,7.1,7.5,482.0,657.0,,,0.3,0.8,,,2.0,2.0,2012,2012
78,2455.0,DADRA NAGAR HAVELI,30.0,31.0,6.9,7.6,1581.0,1995.0,6.0,6.0,0.3,0.4,,,4.0,4.0,2012,2012
79,2456.0,DADRA NAGAR HAVELI,29.5,30.0,6.9,7.4,1035.0,1542.0,,,0.2,0.4,,,12.0,12.0,2012,2012
80,2457.0,DADRA NAGAR HAVELI,31.0,31.0,7.2,7.8,1165.0,1676.0,,,0.7,0.8,,,,,2012,2012
81,2458.0,DADRA NAGAR HAVELI,29.0,31.0,7.3,7.7,2199.0,2693.0,6.0,6.0,0.3,0.5,,,14.0,14.0,2012,2012
82,2824.0,MAHARASHTRA,32.0,32.0,8.1,8.1,1077.0,1077.0,3.8,3.8,0.26,0.26,2.0,2.0,140.0,140.0,2012,2012
83,2825.0,MAHARASHTRA,24.0,32.0,8.3,8.8,2557.0,5212.0,3.2,5.2,5.16,5.16,2.0,2.0,14.0,80.0,2012,2012
84,2829.0,MAHARASHTRA,23.0,23.0,8.6,8.67,821.4,824.6,2.4,2.8,0.79,1.48,2.0,8.0,40.0,60.0,2012,2012
85,2830.0,MAHARASHTRA,23.0,23.0,8.1,8.44,1780.0,1875.0,2.2,2.4,3.92,4.8,2.0,6.0,50.0,60.0,2012,2012
86,2831.0,MAHARASHTRA,24.0,24.0,7.71,8.11,3207.0,4431.0,2.2,2.2,3.8,3.9,4.0,4.0,110.0,110.0,2012,2012
87,2832.0,MAHARASHTRA,25.0,26.0,7.26,7.48,280.2,435.0,2.2,2.4,0.69,1.76,2.0,4.0,50.0,80.0,2012,2012
88,2833.0,MAHARASHTRA,25.0,26.0,7.52,7.86,615.4,2751.0,2.0,2.4,0.57,2.97,2.0,4.0,70.0,90.0,2012,2012
89,2834.0,MAHARASHTRA,25.0,30.0,7.54,8.29,528.5,665.5,2.0,2.2,0.53,1.86,2.0,2.0,60.0,90.0,2012,2012
90,2835.0,MAHARASHTRA,26.0,27.0,7.69,7.78,243.3,342.0,2.0,2.8,0.46,1.98,2.0,6.0,40.0,80.0,2012,2012
91,1984.0,MAHARASHTRA,27.0,27.0,7.8,7.8,1210.0,1210.0,3.0,3.0,3.3,3.3,80.0,80.0,275.0,275.0,2012,2012
92,1985.0,MAHARASHTRA,26.0,26.0,7.9,8.3,1292.0,2916.0,4.8,6.0,0.93,0.925,8.0,85.0,25.0,110.0,2012,2012
93,1986.0,MAHARASHTRA,27.0,27.0,7.4,7.5,647.8,750.2,3.8,4.0,0.63,1.986,25.0,50.0,45.0,140.0,2012,2012
94,1987.0,MAHARASHTRA,26.0,26.0,7.6,7.6,986.8,1101.0,4.0,4.2,0.07,0.452,8.0,35.0,25.0,95.0,2012,2012
95,1988.0,MAHARASHTRA,27.0,27.0,7.9,8.1,577.5,588.2,3.0,4.0,0.16,1.563,25.0,170.0,45.0,550.0,2012,2012
96,1989.0,MAHARASHTRA,28.0,28.0,8.2,8.2,848.9,848.9,5.0,5.0,0.02,0.885,50.0,50.0,130.0,130.0,2012,2012
97,1990.0,MAHARASHTRA,,,7.29,7.73,938.0,1183.0,8.0,10.0,0.88,0.882,,,,,2012,2012
98,1991.0,MAHARASHTRA,25.0,26.0,7.44,7.75,700.0,760.0,3.2,7.0,3.12,96.81,4.0,34.0,22.0,50.0,2012,2012
99,1992.0,MAHARASHTRA,27.0,27.0,7.6,7.88,777.2,951.9,2.8,8.5,0.57,2.46,9.0,17.0,170.0,350.0,2012,2012
100,1993.0,MAHARASHTRA,28.0,32.0,7.4,8.4,1140.0,1860.0,3.6,6.16,0.28,0.38,2.0,2.0,80.0,90.0,2012,2012
101,1994.0,MAHARASHTRA,20.0,22.0,7.5,7.65,636.0,1530.0,3.6,4.8,10.2,36.85,13.0,33.0,40.0,130.0,2012,2012
102,1995.0,MAHARASHTRA,20.0,22.0,7.96,8.5,934.0,1136.0,5.0,6.8,1.48,1.88,11.0,40.0,23.0,110.0,2012,2012
103,1996.0,MAHARASHTRA,20.0,22.0,7.9,8.2,1480.0,1820.0,6.0,8.0,4.96,12.6,14.0,60.0,26.0,140.0,2012,2012
104,1997.0,MAHARASHTRA,20.0,20.0,7.86,7.9,1512.0,1849.0,5.2,40.0,4.8,13.2,40.0,40.0,110.0,130.0,2012,2012
105,1998.0,MAHARASHTRA,22.0,24.0,8.06,8.5,984.0,1420.0,5.6,7.4,1.62,2.85,17.0,22.0,30.0,80.0,2012,2012
106,1999.0,MAHARASHTRA,23.0,24.0,7.69,8.6,468.0,492.0,5.0,8.0,1.48,5.3,8.0,17.0,17.0,60.0,2012,2012
107,2000.0,MAHARASHTRA,20.0,22.0,8.15,8.6,1010.0,1360.0,6.2,7.2,1.88,2.62,13.0,27.0,34.0,170.0,2012,2012
108,2001.0,MAHARASHTRA,20.0,22.0,7.1,8.08,492.0,492.0,3.8,5.3,5.68,8.0,22.0,30.0,70.0,170.0,2012,2012
109,2002.0,MAHARASHTRA,20.0,25.0,7.82,8.03,512.0,1032.0,4.4,5.6,0.98,3.62,13.0,40.0,30.0,140.0,2012,2012
110,2003.0,MAHARASHTRA,18.0,20.0,7.4,7.5,426.0,870.0,3.6,4.2,1.39,2.96,8.0,27.0,13.0,140.0,2012,2012
111,2004.0,MAHARASHTRA,23.0,23.0,7.52,8.51,1440.0,1573.0,1.2,2.2,1.24,1.64,2.0,4.0,40.0,50.0,2012,2012
112,2005.0,MAHARASHTRA,23.0,23.0,8.52,8.54,1540.0,1580.0,2.0,2.0,4.2,4.26,4.0,6.0,70.0,80.0,2012,2012
113,2006.0,MAHARASHTRA,24.0,24.0,7.58,8.57,1440.0,1536.0,2.4,3.8,4.1,4.12,2.0,6.0,60.0,80.0,2012,2012
114,2007.0,MAHARASHTRA,24.0,24.0,7.22,8.29,2906.0,5904.0,2.4,2.4,3.6,4.3,2.0,4.0,50.0,140.0,2012,2012
115,2008.0,MAHARASHTRA,23.0,24.0,7.85,8.22,3934.0,4677.0,2.0,2.4,4.02,4.53,2.0,4.0,90.0,120.0,2012,2012
116,2200.0,MAHARASHTRA,24.0,32.0,8.3,8.5,3222.0,6717.0,3.4,5.0,1.82,1.82,2.0,4.0,80.0,110.0,2012,2012
117,2201.0,MAHARASHTRA,26.0,32.0,7.1,8.1,2111.0,2180.0,3.12,5.2,4.86,7.116,2.0,4.0,60.0,110.0,2012,2012
118,2202.0,MAHARASHTRA,25.0,26.0,7.3,8.47,357.0,614.3,2.0,2.0,10.7,15.86,2.0,4.0,80.0,90.0,2012,2012
119,2203.0,MAHARASHTRA,,,7.84,8.18,616.0,1010.0,4.6,6.0,0.4,3.94,,,,,2012,2012
120,2204.0,MAHARASHTRA,,,7.38,7.64,1170.0,1983.0,9.5,10.0,0.86,3.68,,,,,2012,2012
121,2816.0,MAHARASHTRA,25.0,26.0,7.57,7.85,843.0,1100.0,3.0,6.0,0.1,0.1,4.0,23.0,21.0,80.0,2012,2012
122,2817.0,MAHARASHTRA,,,7.4,7.4,808.0,808.0,2.6,2.6,3.4,8.7,,,,,2012,2012
123,2818.0,MAHARASHTRA,25.0,27.0,7.5,7.8,913.0,1000.0,3.8,8.0,5.05,5.05,11.0,30.0,27.0,300.0,2012,2012
124,2819.0,MAHARASHTRA,26.0,27.0,7.89,8.0,4654.0,6865.0,2.5,4.2,2.84,5.66,25.0,25.0,200.0,350.0,2012,2012
125,2820.0,MAHARASHTRA,30.0,30.0,6.89,7.9,910.4,1357.0,2.5,5.5,0.18,0.26,13.0,25.0,195.0,550.0,2012,2012
126,2821.0,MAHARASHTRA,25.0,25.0,7.82,7.82,2905.0,2905.0,4.0,4.0,0.22,0.31,11.0,11.0,350.0,350.0,2012,2012
127,2822.0,MAHARASHTRA,25.0,25.0,7.49,7.49,1175.0,1175.0,3.5,3.5,0.4,0.4,11.0,11.0,350.0,350.0,2012,2012
128,2823.0,MAHARASHTRA,25.0,25.0,7.88,7.88,1572.0,1572.0,5.0,5.0,0.28,0.28,17.0,17.0,350.0,350.0,2012,2012
129,2826.0,MAHARASHTRA,,,8.05,8.88,559.0,886.0,4.8,6.2,9.78,11.54,,,,,2012,2012
130,2827.0,MAHARASHTRA,20.0,24.0,7.5,7.92,496.0,840.0,4.4,5.0,0.74,1.32,8.0,22.0,50.0,80.0,2012,2012
131,2828.0,MAHARASHTRA,16.0,20.0,7.66,7.8,790.0,1498.0,4.8,5.2,1.08,4.86,13.0,90.0,50.0,280.0,2012,2012
132,2277.0,GOA,28.0,32.0,6.2,6.22,242.4,387.0,1.0,1.3,0.11,0.28,,,10.0,28.0,2012,2012
133,2278.0,GOA,27.0,32.0,6.25,6.38,153.7,250.2,0.7,1.3,0.04,0.08,,,80.0,80.0,2012,2012
134,2279.0,GOA,27.0,31.0,5.8,5.9,108.7,262.2,2.6,2.6,0.02,0.69,,,11.0,23.0,2012,2012
135,2280.0,GOA,26.0,32.0,5.77,5.86,147.0,241.1,1.7,2.9,0.31,0.39,,,4.0,4.0,2012,2012
136,2281.0,GOA,25.0,32.0,6.1,6.53,45.5,55.1,1.6,2.3,0.03,1.09,,,4.0,125.0,2012,2012
137,2282.0,GOA,28.0,33.0,5.9,6.5,199.8,312.0,1.0,1.6,0.67,0.78,4.0,4.0,150.0,150.0,2012,2012
138,1555.0,HIMACHAL PRADESH,25.0,26.0,7.3,7.6,369.0,445.0,1.0,1.4,0.24,1.27,4.0,8.0,9.0,11.0,2012,2012
139,1556.0,HIMACHAL PRADESH,24.0,26.0,7.28,7.48,541.0,649.0,1.4,1.6,0.26,1.18,5.0,7.0,9.0,12.0,2012,2012
140,1557.0,HIMACHAL PRADESH,21.0,24.0,7.23,8.34,365.0,455.0,0.2,0.5,0.03,0.096,,,2.0,2.0,2012,2012
141,1558.0,HIMACHAL PRADESH,23.0,26.0,7.5,8.3,291.0,709.0,0.2,1.0,0.18,1.79,,,10.0,10.0,2012,2012
142,1559.0,HIMACHAL PRADESH,22.0,27.0,7.58,7.96,329.0,408.0,0.2,4.0,0.14,2.33,8.0,8.0,32.0,32.0,2012,2012
143,1560.0,HIMACHAL PRADESH,23.0,27.0,7.51,8.27,906.0,1145.0,0.3,0.5,0.19,0.26,,,2.0,2.0,2012,2012
144,1561.0,HIMACHAL PRADESH,18.0,25.4,7.52,7.59,680.0,701.0,0.6,1.0,5.22,5.22,7.0,7.0,33.0,33.0,2012,2012
145,1562.0,HIMACHAL PRADESH,15.0,25.0,7.4,7.85,428.0,630.0,0.0,0.5,1.71,3.33,4.0,4.0,26.0,26.0,2012,2012
146,1872.0,HIMACHAL PRADESH,10.4,14.1,6.62,7.86,232.0,758.0,2.5,45.0,,,6.0,128.0,27.0,390.0,2012,2012
147,1873.0,HIMACHAL PRADESH,18.0,20.0,5.85,6.04,269.0,293.0,0.7,0.9,0.02,0.613,4.0,4.0,17.0,17.0,2012,2012
148,1874.0,HIMACHAL PRADESH,12.0,24.0,7.27,8.5,369.0,580.0,0.1,2.0,4.46,4.79,2.0,108.0,12.0,340.0,2012,2012
149,1875.0,HIMACHAL PRADESH,18.0,18.0,7.65,7.65,257.0,257.0,4.8,4.8,,2.33,920.0,920.0,2400.0,2400.0,2012,2012
150,1876.0,HIMACHAL PRADESH,21.0,25.0,6.68,8.32,553.0,763.0,0.3,0.5,0.22,0.22,,,6.0,10.0,2012,2012
151,1877.0,HIMACHAL PRADESH,23.0,26.0,7.13,8.23,345.0,398.0,0.2,1.0,0.08,1.96,2.0,2.0,28.0,28.0,2012,2012
152,1878.0,HIMACHAL PRADESH,22.5,27.0,7.4,7.63,360.0,513.0,0.2,0.5,0.22,2.75,15.0,15.0,50.0,50.0,2012,2012
153,1879.0,HIMACHAL PRADESH,22.0,28.0,6.6,7.68,888.0,1314.0,0.2,0.5,0.1,2.43,,,15.0,15.0,2012,2012
154,1880.0,HIMACHAL PRADESH,26.0,26.0,7.09,7.36,371.0,485.0,1.0,1.2,0.13,5.2,5.0,8.0,9.0,10.0,2012,2012
155,1881.0,HIMACHAL PRADESH,23.0,25.0,7.22,8.04,409.0,671.0,1.2,1.2,0.2,1.07,4.0,7.0,9.0,11.0,2012,2012
156,1882.0,HIMACHAL PRADESH,15.0,24.0,7.68,7.71,573.0,870.0,0.5,0.5,0.28,1.41,5.0,11.0,18.0,21.0,2012,2012
157,1883.0,HIMACHAL PRADESH,14.0,25.0,7.46,7.75,516.0,794.0,0.5,0.6,4.86,5.71,9.0,9.0,43.0,43.0,2012,2012
158,2628.0,HIMACHAL PRADESH,10.0,16.0,7.29,8.21,301.0,568.0,,,,,,,,,2012,2012
159,2629.0,HIMACHAL PRADESH,20.5,21.0,7.47,7.78,591.0,703.0,,,0.56,2.354,,,,,2012,2012
160,2630.0,HIMACHAL PRADESH,15.0,15.0,7.0,7.04,7.36,1300.0,0.4,0.5,0.2,3.135,4.0,5.0,17.0,22.0,2012,2012
161,2631.0,HIMACHAL PRADESH,13.0,13.0,6.65,6.78,527.0,811.0,0.5,0.5,6.05,6.11,2.0,2.0,7.0,10.0,2012,2012
162,2632.0,HIMACHAL PRADESH,22.0,23.0,7.42,7.79,714.0,987.0,,,2.55,6.18,,,,,2012,2012
163,2633.0,HIMACHAL PRADESH,9.0,9.0,8.85,8.85,244.0,244.0,0.0,0.0,4.93,8.253,,,,,2012,2012
164,2634.0,HIMACHAL PRADESH,10.0,10.6,7.89,7.98,245.0,250.0,0.2,0.5,0.03,0.025,6.0,6.0,2.0,26.0,2012,2012
165,2635.0,HIMACHAL PRADESH,10.0,10.0,7.88,8.46,248.0,502.0,0.0,0.2,0.07,0.18,,,,,2012,2012
166,2636.0,HIMACHAL PRADESH,20.0,21.0,6.32,7.01,559.0,695.0,0.6,1.1,,0.094,4.0,4.0,27.0,27.0,2012,2012
167,2637.0,HIMACHAL PRADESH,21.0,24.0,7.21,8.6,133.0,1350.0,0.5,0.6,0.05,2.02,7.0,7.0,17.0,17.0,2012,2012
168,2638.0,HIMACHAL PRADESH,20.0,22.0,7.62,8.02,416.0,552.0,0.2,0.5,1.4,5.64,8.0,8.0,21.0,21.0,2012,2012
169,2639.0,HIMACHAL PRADESH,21.0,22.0,6.78,8.22,80.0,133.0,0.8,1.0,2.82,3.98,7.0,7.0,17.0,17.0,2012,2012
170,2640.0,HIMACHAL PRADESH,24.6,26.0,7.26,7.84,353.0,424.0,0.3,1.0,0.32,0.85,9.0,9.0,21.0,21.0,2012,2012
171,2641.0,HIMACHAL PRADESH,15.0,15.0,7.2,7.48,668.0,691.0,0.2,0.8,1.25,1.43,4.0,4.0,9.0,9.0,2012,2012
172,2642.0,HIMACHAL PRADESH,14.0,16.0,6.41,6.85,222.0,229.0,0.4,0.9,0.06,0.25,4.0,4.0,9.0,9.0,2012,2012
173,2643.0,HIMACHAL PRADESH,21.0,24.5,7.09,7.83,393.0,438.0,0.1,1.0,2.71,3.18,11.0,84.0,27.0,210.0,2012,2012
174,2644.0,HIMACHAL PRADESH,24.0,24.0,7.21,7.21,507.0,507.0,0.2,0.2,0.05,0.18,,,2.0,2.0,2012,2012
175,2645.0,HIMACHAL PRADESH,22.0,25.0,7.11,7.18,686.0,1050.0,1.0,1.2,0.03,0.029,6.0,9.0,10.0,13.0,2012,2012
176,4563.0,LAKSHADWEEP,29.8,29.8,,,1607.0,1742.0,,,,,,,,,2019,2019
177,2646.0,HIMACHAL PRADESH,26.0,26.0,6.77,7.31,957.0,1860.0,1.0,1.2,0.3,3.27,5.0,7.0,10.0,12.0,2012,2012
178,2647.0,HIMACHAL PRADESH,14.0,26.0,6.87,7.22,696.0,1080.0,0.5,0.6,0.29,1.75,7.0,7.0,2.0,18.0,2012,2012
179,2039.0,CHANDIGARH,26.0,26.0,7.0,7.0,869.0,869.0,0.4,0.4,0.22,1.02,,,,,2012,2012
180,2042.0,CHANDIGARH,26.0,26.0,7.4,7.4,741.0,741.0,0.6,0.6,7.77,7.77,,,,,2012,2012
181,2043.0,CHANDIGARH,26.0,26.0,7.2,7.2,870.0,870.0,1.0,1.0,0.38,0.38,,,,,2012,2012
182,2044.0,CHANDIGARH,26.0,26.0,6.9,6.9,987.0,987.0,0.6,0.6,2.83,2.83,,,,,2012,2012
183,2045.0,CHANDIGARH,26.0,26.0,7.3,7.3,673.0,673.0,,,,,,,,,2012,2012
184,2759.0,JAMMU & KASHMIR,27.0,27.0,6.24,6.24,458.0,458.0,2.3,2.3,0.33,1.49,,,,,2012,2012
185,2760.0,JAMMU & KASHMIR,26.0,26.0,6.64,6.64,236.0,236.0,158.0,158.0,,,,,,,2012,2012
186,2761.0,JAMMU & KASHMIR,26.0,26.0,6.1,6.1,106.0,106.0,,,0.06,0.057,,,,,2012,2012
187,2762.0,JAMMU & KASHMIR,16.2,16.2,9.4,9.4,2000.0,2000.0,68.0,68.0,,,,,,,2012,2012
188,19.0,KERALA,24.0,28.0,5.7,7.5,120.0,245.0,0.2,1.4,0.3,4.5,2.0,1100.0,22.0,3500.0,2012,2012
189,22.0,KERALA,25.0,25.0,6.5,6.7,100.0,110.0,0.3,0.5,0.16,1.88,2.0,2.0,4.0,40.0,2012,2012
190,35.0,KERALA,26.4,26.8,5.0,5.8,329.0,344.0,0.4,0.6,4.5,6.1,170.0,400.0,300.0,700.0,2012,2012
